qid,question,answer,qid,question,answer,concepts,numbers,units,relations
0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,0,which is the suitable temperature for photosynthesis?,12\degree c - 25\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['12\\degree'],"['m', 'deg']",[]
0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,0,which is the suitable temperature for photosynthesis?,17\degree c - 30\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['17\\degree'],"['m', 'deg']",[]
0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,0,which is the suitable temperature for photosynthesis?,22\degree c - 35\degree c,"['photosynthesis', 'temperature', 'suitable', 'c']",['22\\degree'],"['m', 'deg']",[]
0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,0,which is the suitable temperature for photosynthesis?,27\degree c - 40\degree c,"['photosynthesis', 'temperature', 'suitable']","['40\\degree', '27\\degree']","['m', 'deg']",[]
1,where is the solar energy stored as the potential energy?,oxygen,1,where is the solar energy stored as the potential energy?,oxygen,"['solar', 'energy', 'oxygen', 'potential', 'store']",[],[],[]
1,where is the solar energy stored as the potential energy?,water,1,where is the solar energy stored as the potential energy?,water,"['solar', 'water', 'energy', 'potential', 'store']",[],[],[]
1,where is the solar energy stored as the potential energy?,carbon-dioxide,1,where is the solar energy stored as the potential energy?,carbon-dioxide,"['solar', 'energy', 'carbon', 'potential', 'store', 'dioxide']",[],[],[]
1,where is the solar energy stored as the potential energy?,carbohydrate,1,where is the solar energy stored as the potential energy?,carbohydrate,"['solar', 'energy', 'potential', 'store', 'carbohydrate']",[],[],[]
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1801.5 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '1801.5', '60', '1.62 meter', '3', '65 kg', '2', '1.5', '20']",['m'],[]
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1705.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '1705.0', '65 kg', '2', '1.5', '20']",['m'],[]
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1595.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1595.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1595.0', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '65 kg', '2', '1.5', '20']",['m'],[]
2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1407.0 calorie,2,"mr. rahim's youngest daughter tania is 20 years old, height 1.5 meter and weigh 60 kg. on the other hand, his eldest son rashed is 25 years old, height 1.62 meter and weight 65 kg. he is light working and plays 2-3 days a week.
what is the bmr of tania?",1407.0 calorie,"['old', 'rahim', 'tania', 'kg', 'hand', 'day', '.', 'daughter', 'young', 'work', 'play', 'week', 'eld', 'weight', 'calorie', 'meter', 'light', 'weigh', 'mr', 'rashe', 'bmr', 'year', 'son', 'height']","['60 kg', '1.62', '1.5 meter', '25', '65', '60', '1.62 meter', '3', '65 kg', '1407.0', '2', '1.5', '20']",['m'],[]
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and ii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and ii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[]
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and iii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",i and iii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[]
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",ii and iii,3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?",ii and iii,"['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[]
3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?","i, ii and iii",3,"rashed's-
i. bmr 1596.5 calorie
ii. bmi 24.77
iii. needs 3033.35 calories daily
which one is correcty?","i, ii and iii","['ii', 'correcty', ""rashed's-"", 'iii', 'need', 'bmi', '.', 'i.', 'bmr', 'calorie']","['one', '3033.35', '1596.5', '24.77']",['m'],[]
4,how many macro-nutrients are needed for normal growth of plants?,6,4,how many macro-nutrients are needed for normal growth of plants?,6,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['6'],['m'],[]
4,how many macro-nutrients are needed for normal growth of plants?,10,4,how many macro-nutrients are needed for normal growth of plants?,10,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['10'],['m'],[]
4,how many macro-nutrients are needed for normal growth of plants?,16,4,how many macro-nutrients are needed for normal growth of plants?,16,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['16'],['m'],[]
4,how many macro-nutrients are needed for normal growth of plants?,20,4,how many macro-nutrients are needed for normal growth of plants?,20,"['normal', 'plant', 'macro', 'need', 'growth', 'nutrient', '-']",['20'],['m'],[]
5,which food could be directly absorbed hy human body?,milk,5,which food could be directly absorbed hy human body?,milk,"['absorb', 'hy', 'milk', 'body', 'food', 'human']",[],['m'],[]
